track_id,track_name,track_artist,playlist_genre,playlist_subgenre,year,track_popularity,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_ms,mood_category,lyric_sentiment,language
707Sfl5gopQ04y2WcqBIc0,You Are The Woman,Firefall,rock,album rock,2009,21,0.5589999999999999,0.622,0.5579999999999999,124.468,-9.522,0.0448,0.197,0.0,0.968,249853,Intense / Dark,0.15503663003663004,en
709ffFK4o4MtG1NKoLvOma,Major Tom - Coming Home,Peter Schilling,pop,electropop,1989,58,0.787,0.42,0.838,161.247,-14.32,0.0645,0.153,0.1639999999999999,0.1689999999999999,301373,Calm / Positive,0.21746031746031746,en
70aBlCLalffIq1c1cng6zO,Giving Him Something He Can Feel,En Vogue,r&b,new jack swing,2001,32,0.496,0.298,0.705,203.824,-10.175,0.0405,0.306,1.72e-06,0.0875,235707,Calm / Positive,0.32267156862745094,en
70ATI6K6i1TXfRfID7bcN0,Where Is The Love?,The Black Eyed Peas,pop,indie poptimism,2003,1,0.836,0.6990000000000001,0.818,94.092,-3.235,0.179,0.114,0.0,0.13,273813,Happy / Energetic,0.13152408228627738,en
70B5oP5ng1QYClkJ9CeWly,World In My Eyes - 2006 Remastered Version,Depeche Mode,pop,electropop,1990,49,0.66,0.8809999999999999,0.949,122.244,-7.802,0.0419,0.00737,0.833,0.0514,267040,Happy / Energetic,0.18,en
70C4NyhjD5OZUMzvWZ3njJ,Piano Man,Billy Joel,rock,classic rock,1973,74,0.331,0.55,0.429,177.734,-6.483,0.0272,0.605,3.96e-06,0.192,339000,Sad / Calm,0.19416666666666668,en
70cTMpcgWMcR18t9MRJFjB,I Gotta Feeling,The Black Eyed Peas,pop,electropop,2009,20,0.743,0.7659999999999999,0.61,127.96,-6.375,0.0265,0.0873,0.0,0.509,289133,Happy / Energetic,0.4951214270363205,en
70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's,Elle King,pop,dance pop,2015,73,0.612,0.921,0.453,139.986,-2.879,0.0848,0.0183,0.0,0.0576,202173,Intense / Dark,0.23380050505050506,en
70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),Ed Sheeran,pop,post-teen pop,2019,85,0.64,0.648,0.5479999999999999,92.977,-8.113,0.187,0.124,0.0,0.0802,197867,Intense / Dark,0.21100000000000005,en
70EYRjEmK12XiCX9E98upr,When Will I See You Smile Again?,Bell Biv DeVoe,r&b,new jack swing,2002,28,0.7190000000000001,0.534,0.298,124.05,-7.338999999999999,0.0262,0.0358,0.00141,0.0762,307400,Sad / Calm,0.17830687830687827,en
70gUpEnhuX4OxklDsYewHY,365 - Jonas Aden Remix,Zedd,edm,big room,2019,49,0.74,0.802,0.502,123.987,-3.967,0.0531,0.0112,0.000385,0.187,165998,Intense / Dark,0.016666666666666663,en
70hvCk6sUutFjKA1Y4W1mc,take me on,joan,pop,indie poptimism,2017,9,0.5920000000000001,0.693,0.255,120.076,-4.934,0.0395,0.397,2.87e-05,0.242,210840,Intense / Dark,0.08253968253968252,en
70iDnqYvxCPl3mPd3ddxgD,Another Sad Love Song,Toni Braxton,r&b,new jack swing,1993,49,0.78,0.71,0.858,96.067,-7.4289999999999985,0.0479,0.0143,3.4899999999999995e-05,0.0366,301560,Happy / Energetic,-0.175,en
70iKezMwKdKq7kRtORKY5B,Feel It Too,Tainy,r&b,urban contemporary,2019,54,0.5670000000000001,0.556,0.484,109.922,-8.179,0.245,0.399,0.0,0.211,193055,Sad / Calm,0.16351495726495724,en
70K0ezmzYEZeqoSaZMyP7o,Let It All Go,Birdy,pop,indie poptimism,2015,66,0.383,0.43,0.174,107.005,-8.644,0.0302,0.8170000000000001,1.04e-06,0.0869,280757,Sad / Calm,0.13833333333333334,en
70khXICDeTTxgYtw3EysKH,sweetener,Ariana Grande,pop,post-teen pop,2018,70,0.721,0.459,0.46,119.914,-6.408,0.032,0.248,0.0,0.212,208493,Sad / Calm,0.037362637362637355,en
70mg60zcy50n3NWrjWlyRY,Every Night - Remastered 2011,Paul McCartney,rock,album rock,1970,1,0.605,0.404,0.867,94.285,-12.366,0.0256,0.588,0.00143,0.104,153413,Calm / Positive,0.13636363636363635,en
70mkLFWSI7m32pryOXcjsl,Superlove (Avicii vs. Lenny Kravitz) - Radio Edit,Avicii,edm,progressive electro house,2015,0,0.601,0.951,0.968,127.959,-3.138,0.0426,0.271,0.84,0.146,179531,Happy / Energetic,0.25,en
70nmZhHZLNVYWP4NON41Zw,Runnin' Thru The 7th With My Woadies,$uicideBoy$,rap,gangster rap,2015,72,0.526,0.62,0.187,112.027,-7.244,0.281,0.067,0.000241,0.139,205766,Intense / Dark,-0.03063725490196078,en
70OBOxYnVHt07Vgv1KgjKu,Single Ladies (Put a Ring On It),The Cleverlys,r&b,hip pop,2011,34,0.727,0.606,0.502,104.588,-8.084,0.512,0.479,0.0,0.414,270720,Intense / Dark,0.163209219858156,en
70PH29yzcK8ZQVseOZlAJG,Save Tonight,Sam Feldt,latin,tropical,2017,7,0.632,0.7759999999999999,0.236,114.996,-7.4,0.0288,0.101,2.71e-06,0.283,165645,Intense / Dark,0.4,en
70qmp46oXjH8hapj9l1lbE,The Dance,Struggle Jennings,rap,southern hip hop,2016,49,0.595,0.726,0.434,150.774,-8.363,0.132,0.0498,0.0,0.122,236648,Intense / Dark,0.13856292517006802,en
70RMVzexrIvYJiFEnuGymb,Deliverance,Bubba Sparxxx,rap,southern hip hop,2003,53,0.462,0.8140000000000001,0.696,93.334,-7.2189999999999985,0.242,0.213,1.32e-06,0.0649,306813,Happy / Energetic,0.010024665257223389,en
70RrIIfbY4OjEdX9xnVr3X,Freedom,Zucchero,r&b,hip pop,2019,51,0.536,0.6729999999999999,0.415,97.981,-5.879,0.0549,0.0025,0.0,0.131,242337,Intense / Dark,-0.4000000000000001,en
70SjyVMzhmMeJQD8hOmIBp,Put Me Thru,Anderson .Paak,r&b,urban contemporary,2016,56,0.732,0.789,0.607,107.978,-3.717,0.0476,0.0459,3.11e-05,0.123,160760,Happy / Energetic,0.10902777777777778,en
70uUmt0fNudal1sT9AfGqL,Winter's Ballad,Cuco,rock,permanent wave,2017,0,0.321,0.273,0.0506,138.986,-9.912,0.0294,0.926,0.115,0.111,277122,Sad / Calm,0.007407407407407412,en
70Vdd1gx5tn84jkAU31ASv,Sexy And I Know It,LMFAO,pop,electropop,2011,67,0.7070000000000001,0.861,0.795,130.02100000000002,-4.225,0.316,0.1,0.0,0.191,199480,Happy / Energetic,0.25577200577200576,en
70vvnTUamBXOc0vRk7BBDu,Poker Face,Lady Gaga,pop,post-teen pop,2009,55,0.851,0.8059999999999999,0.775,119.002,-4.618,0.0788,0.12,1.39e-06,0.122,237200,Happy / Energetic,0.03569444444444447,en
70Wisxtvi1DJrPMFvCpZQu,Do You Believe (Original Mix),Poolside,pop,electropop,2011,42,0.778,0.747,0.8320000000000001,104.003,-6.899,0.0513,0.011,0.7929999999999999,0.0488,273067,Happy / Energetic,0.42500000000000004,en
70Wsfvr0gJmTzHPSnJyJJE,One In A Million,Apollo LTD,pop,indie poptimism,2017,0,0.612,0.8220000000000001,0.858,130.054,-4.968,0.034,0.000353,7.06e-05,0.0914,214990,Happy / Energetic,0.265,en
70WSr32oW4jC1na5I0j0D6,Anemone,The Brian Jonestown Massacre,rock,permanent wave,2008,62,0.527,0.636,0.607,83.101,-12.888,0.0347,0.0599,0.843,0.204,334467,Happy / Energetic,0.3358974358974359,en
70wYA8oYHoMzhRRkARoMhU,When You Were Young,The Killers,rock,permanent wave,2006,75,0.467,0.988,0.321,130.435,-3.313,0.112,0.000152,0.0484,0.28,220427,Intense / Dark,0.20217566824709687,en
70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,pop,dance pop,2019,75,0.404,0.8059999999999999,0.112,148.036,-4.75,0.0496,0.198,0.0,0.114,220730,Intense / Dark,0.235515873015873,en
70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,ZZ Top,rock,album rock,1973,74,0.545,0.64,0.606,80.544,-9.937,0.224,0.00249,0.0304,0.196,230480,Happy / Energetic,0.16258503401360544,en
711gGx1GpUv9YW9KTSfJfH,Home,Caribou,r&b,hip pop,2019,57,0.711,0.6629999999999999,0.507,96.996,-7.995,0.0997,0.0251,0.00727,0.246,156293,Intense / Dark,0.5222222222222223,en
711MglQhnhOF3UAiAs9A59,Robbery,Juice WRLD,rap,trap,2019,4,0.669,0.6829999999999999,0.579,159.996,-5.17,0.054,0.278,0.0,0.268,240437,Intense / Dark,0.04704402515723273,en
712jeLmkHcf7Ruow0g0V6W,Paid Dues,8Ball,rap,southern hip hop,1999,38,0.932,0.579,0.647,123.974,-8.586,0.227,0.0419,0.0,0.284,312893,Calm / Positive,-0.052382629107981235,en
717lZxxn53x2B0eucGiD1Z,All Night,Parov Stelar,edm,electro house,2012,59,0.7929999999999999,0.578,0.8029999999999999,125.021,-8.747,0.0428,0.223,0.926,0.293,166613,Calm / Positive,0.009523809523809525,en
71aq76EEn08wWdU1X9zM0g,Turn - 2015 Remaster,New Order,rock,permanent wave,2005,34,0.537,0.8590000000000001,0.369,135.971,-5.336,0.0333,0.00031800000000000003,0.00441,0.096,273600,Intense / Dark,0.051161616161616165,en
71bHPfBGCQ6FmJeyvQAEKv,Fireflies,Bassjackers,edm,big room,2016,1,0.644,0.8190000000000001,0.383,128.129,-3.505,0.0479,0.0165,0.0028,0.126,184697,Intense / Dark,-0.03,en
71cUqXJ3h1r0Ees6YdENLU,Coffee,Sylvan Esso,pop,dance pop,2014,61,0.457,0.455,0.163,100.049,-8.112,0.188,0.348,0.00122,0.142,269693,Sad / Calm,-0.016835016835016835,en
71EHOyEOhNx1SzTebRRyng,Weak,SWV,r&b,urban contemporary,1992,66,0.693,0.5329999999999999,0.568,127.661,-10.954,0.0402,0.107,0.0,0.0695,291907,Sad / Calm,0.12704199735449737,en
71fcC7BuScQCY40HIiMyal,Tender Kisses,Tracie Spencer,r&b,new jack swing,1990,47,0.594,0.521,0.789,167.56900000000005,-11.033,0.0417,0.161,0.00556,0.0382,328240,Calm / Positive,0.13848039215686272,en
71G8h9UiqlkXFvBUOKFviS,So High,JAYLIEN,pop,indie poptimism,2020,53,0.511,0.715,0.621,138.014,-6.5470000000000015,0.174,0.0336,0.0,0.349,229565,Happy / Energetic,0.10385273368606707,en
71gU4Kd5eQXcg5npdYheJE,Jet Airliner - 2003 Digital Remaster,Steve Miller Band,rock,classic rock,2005,0,0.597,0.735,0.907,122.416,-9.214,0.0328,0.0603,1.35e-05,0.527,268067,Happy / Energetic,0.05964972303681982,en
71HJ6PCDao3hcgOEUX8M22,Karma,Robinson,pop,indie poptimism,2019,52,0.7559999999999999,0.675,0.34,98.092,-6.479,0.0755,0.00767,0.000909,0.0535,188824,Intense / Dark,-0.10313725490196077,en
71jGGLe5VtEHjIk5dU2W3S,Red Eyes,The War On Drugs,pop,dance pop,2014,65,0.464,0.815,0.467,161.845,-6.371,0.0368,0.0087099999999999,0.201,0.162,298920,Intense / Dark,0.21499118165784833,en
71lboXdN743zXxlfrsOSC1,Blackfield,Blackfield,rock,album rock,2004,41,0.409,0.7390000000000001,0.111,81.92299999999999,-5.515,0.0287,0.000459,0.000992,0.177,246960,Intense / Dark,-0.10407407407407407,en
71mDjdeVK9sqXmamMHaAfX,Some Cut (feat. Cutty),Trillville,rap,hip hop,2009,56,0.901,0.512,0.638,85.012,-6.468,0.37,0.00273,0.0,0.0979,283387,Calm / Positive,0.07993350493350494,en
71NeNcFTkxPPaGf1Er96Ss,Best Friend,Ady Suleiman,r&b,neo soul,2019,47,0.708,0.488,0.774,160.083,-7.896,0.264,0.616,0.0,0.0823,219066,Calm / Positive,0.5116071428571428,en
71nvXPQMmYflxqil6Q9ehh,Oceans,Coasts,pop,indie poptimism,2015,42,0.52,0.845,0.537,127.709,-4.567,0.0467,0.00163,0.0,0.311,222768,Intense / Dark,0.1566884118967452,en
71PgBc2BnQtIBq6Ct2jDMO,Knockin' On Heaven's Door,Guns N' Roses,rock,classic rock,2004,2,0.48,0.772,0.38,132.376,-6.261,0.0379,0.0241,0.0124,0.103,336147,Intense / Dark,-0.09135802469135805,en
71PKZrhUMowmuTCFPZ6aCY,Fangs,Night Riots,pop,indie poptimism,2017,38,0.522,0.853,0.464,144.917,-3.727,0.0393,0.0062,3.21e-05,0.11,215462,Intense / Dark,0.08128205128205129,en
71SDPonZOsIKNtqnaX8LXj,Low Life,Future,rap,hip hop,2016,4,0.722,0.331,0.102,143.974,-7.789,0.0725,0.337,0.283,0.146,313547,Sad / Calm,0.032162891046386206,en
71SidvkT6LCBHRZI858TsQ,Absolutely Smitten,dodie,pop,indie poptimism,2016,58,0.667,0.667,0.504,118.952,-10.578,0.0346,0.453,0.00361,0.703,181000,Intense / Dark,0.1705882352941177,en
71uQWxtXZDImodR71xdaWN,A Life Within a Day,Squackett,rock,album rock,2014,0,0.398,0.722,0.403,77.497,-7.767,0.0445,0.0177,0.0174,0.227,395933,Intense / Dark,-0.041666666666666664,en
71UYuIZf0TeXAjyy72COVr,Tear Me Down (feat. Philip Rustad),Davai,pop,dance pop,2019,57,0.72,0.8170000000000001,0.703,100.02,-4.343999999999999,0.109,0.263,0.0,0.103,184500,Happy / Energetic,0.12777777777777777,en
71vsEyBd4X1D5BUmLdFSVH,Black Widow,Iggy Azalea,pop,post-teen pop,2014,66,0.743,0.72,0.519,163.99,-3.753,0.124,0.192,0.000386,0.109,209423,Intense / Dark,0.05214253712237584,en
71wXzyOwwSw3XwRjppvCUy,God Has Smiled On Me,Jessica Reedy,r&b,urban contemporary,2011,35,0.5489999999999999,0.467,0.484,117.405,-7.917000000000002,0.0661,0.638,0.0,0.334,263827,Sad / Calm,0.5343399148277194,en
71XANkrvmPFBd0bsFuLpvm,I AM,Toothgrinder,rock,hard rock,2019,38,0.478,0.887,0.335,150.18,-2.7460000000000004,0.0633,0.000118,0.0,0.28,206560,Intense / Dark,0.2612794612794613,en
71Y7iZlkbQU9dyflFPJDCO,FUCK IT UP,Hearts & Colors,pop,post-teen pop,2019,47,0.715,0.52,0.306,104.066,-8.321,0.0413,0.207,0.0,0.209,188221,Sad / Calm,-0.18367180205415512,en
71YRxs1q0TaGGNbsmVCkCA,You Might Need Somebody,Shola Ama,r&b,new jack swing,2013,1,0.675,0.635,0.63,82.527,-4.154,0.0293,0.16,0.00463,0.38,292627,Happy / Energetic,0.09038800705467372,en
720dTtTyYAD9TKSAd9lwrt,Jimmy Mathis,Bubba Sparxxx,rap,southern hip hop,2003,32,0.773,0.79,0.85,101.865,-5.187,0.257,0.369,0.0302,0.461,189400,Happy / Energetic,0.03456178324599378,en
